x y kind player cellEnergy blockEnergy cellName
0 0 4 0 0 0 0000000 
1 0 4 0 0 0 0000000 
2 0 3 0 0 0 0000000 
3 0 1 0 0 100 0000000 
4 0 2 0 0 0 0000000 
5 0 4 0 0 0 0000000 
0 1 4 1 0 0 gholi 
1 1 2 0 0 0 0000000 
2 1 1 1 40 10 amin 
3 1 4 0 0 0 0000000 
4 1 4 0 0 0 0000000 
5 1 3 0 0 0 0000000 
0 2 3 0 0 0 0000000 
1 2 3 0 0 0 0000000 
2 2 2 1 40 0 ali 
3 2 4 0 0 0 0000000 
4 2 4 0 0 0 0000000 
5 2 4 0 0 0 0000000 
0 3 2 0 0 0 0000000 
1 3 3 0 0 0 0000000 
2 3 1 1 0 100 hasan 
3 3 4 0 0 0 0000000 
4 3 1 0 0 100 0000000 
5 3 4 0 0 0 0000000 
0 4 4 0 0 0 0000000 
1 4 1 0 0 100 0000000 
2 4 4 0 0 0 0000000 
3 4 2 0 0 0 0000000 
4 4 4 0 0 0 0000000 
5 4 2 0 0 0 0000000 
0 5 1 0 0 100 0000000 
1 5 2 0 0 0 0000000 
2 5 1 0 0 100 0000000 
3 5 4 0 0 0 0000000 
4 5 4 0 0 0 0000000 
5 5 3 0 0 0 0000000 
